query_doc_type,system_id,n_queries,n_ok,n_skipped,mean_raw_cont@5,mean_adj_cont@5,mean_shared@5,mean_ce@5,mean_hit@5,mean_mrr
sop,B0,79,79,0,0.23797468354430382,0.21265822784810126,0.11139240506329115,0.569620253164557,1.0,0.9177215189873418
sop,B1,79,79,0,0.08860759493670886,0.08607594936708862,0.06582278481012659,0.2911392405063291,1.0,0.941350210970464
sop,B2,79,79,0,0.23797468354430382,0.21265822784810126,0.10886075949367088,0.5569620253164557,1.0,0.930379746835443
sop,B3,79,79,0,0.23037974683544302,0.2,0.12911392405063293,0.5443037974683544,1.0,0.938818565400844
sop,B4,79,79,0,0.09367088607594937,0.055696202531645575,0.15949367088607594,0.10126582278481013,0.8987341772151899,0.8438818565400844
sop,P1,79,79,0,0.1670886075949367,0.0,0.9544303797468355,0.0,0.16455696202531644,0.16455696202531644
