configuration,hit@5,hit@10,MRR,Stability@10 (repeat),Stability@10 (paraphrase),p95_latency_ms,query_count,repeats
"Baseline (v1, nondet)",0.625,0.8958333333333334,0.4547205687830688,0.6879619008585727,0.5962458188335381,13760.745943523943,48,3
Deterministic protocol,0.6875,0.9375,0.4722883597883598,1.0,0.7299956987456988,1395.2370584011078,48,3
"Stability-aware MQ (v2, nondet)",0.7291666666666666,0.9166666666666666,0.48505291005291,0.8536888458763459,0.7259097505808032,10210.204048082232,48,3
